PRECINCT,REG17,BALLOTS17,CRANLEY,SIMPSON,TOTMAY,P_CRANLEY,P_SIMPSON,P_HVAP,P_WVAP,P_BVAP,P_AMINVAP,P_ASIANVAP,P_NHPIVAP,P_OTHERVAP,P_2MOREVAP,P_HCVAP,P_BCVAP,P_WCVAP
2103 CIN 21-C,1182,176,112,58,170,0.658823529,0.341176471,0.075635104,0.42551963,0.471709007,0.002309469,0.003464203,0.002309469,0.002886836,0.016166282,0.054291912,0.531084766,0.374505272
2104 CIN 21-D,968,154,90,61,151,0.59602649,0.40397351,0.037811746,0.574416734,0.355591311,0.002413516,0.011263073,0,0,0.01850362,0.028542124,0.403383791,0.459139979
2105 CIN 21-E,893,113,29,80,109,0.266055046,0.733944954,0.022326675,0.074030552,0.877790834,0.001175088,0.004700353,0.001175088,0,0.01880141,0.004753763,0.880814654,0.08905071
2201 CIN 22-A,1387,423,135,273,408,0.330882353,0.669117647,0.0125,0.554861111,0.40625,0.000694444,0.004861111,0,0.004166667,0.016666667,0.023123674,0.345180073,0.571653003
2202 CIN 22-B,1204,224,81,135,216,0.375,0.625,0.0182887,0.517962116,0.44023514,0.004572175,0.003265839,0,0.000653168,0.015022861,0.010000799,0.342219127,0.611110477
2203 CIN 22-C,1518,167,56,110,166,0.337349398,0.662650602,0.014450867,0.072254335,0.893786127,0,0.000722543,0,0.000722543,0.018063584,0,0.940341781,0.055722214
2301 CIN 23-A,1580,587,253,317,570,0.443859649,0.556140351,0.01047486,0.560055866,0.397346369,0,0.012569832,0,0.002094972,0.017458101,0.022332719,0.291000742,0.675650159
2302 CIN 23-B,1730,198,95,101,196,0.484693878,0.515306122,0.023194168,0.136514248,0.809145129,0.001988072,0.008614977,0.000662691,0,0.019880716,0.025417424,0.683873367,0.274094892
2303 CIN 23-C,489,253,69,178,247,0.279352227,0.720647773,0.016,0.658,0.286,0.004,0.008,0,0.006,0.022,0,0.15611126,0.845480544
2304 CIN 23-D,1358,621,181,429,610,0.296721311,0.703278689,0.016541353,0.763909774,0.190225564,0.006015038,0.009022556,0.00075188,0.001503759,0.012030075,0.015872142,0.231277714,0.728323572
2305 CIN 23-E,1133,324,96,219,315,0.304761905,0.695238095,0.001831502,0.074175824,0.894688645,0.003663004,0.001831502,0,0,0.023809524,0.010942224,0.741339926,0.206005999
