PRECINCT,REG17,BALLOTS17,CRANLEY,SIMPSON,TOTMAY,P_CRANLEY,P_SIMPSON,P_HVAP,P_WVAP,P_BVAP,P_AMINVAP,P_ASIANVAP,P_NHPIVAP,P_OTHERVAP,P_2MOREVAP,P_HCVAP,P_BCVAP,P_WCVAP
0501 CIN 5-A,1094,502,385,101,486,0.79218107,0.20781893,0.015228426,0.902538071,0.049746193,0.001015228,0.015228426,0.002030457,0,0.014213198,0.00222295,0.00222295,0.943064354
0502 CIN 5-B,1072,489,352,125,477,0.737945493,0.262054507,0.018199234,0.936781609,0.016283525,0.001915709,0.021072797,0,0,0.005747126,0.024063363,0.031471042,0.928630962
0503 CIN 5-C,780,404,270,129,399,0.676691729,0.323308271,0.025675676,0.868918919,0.077027027,0.001351351,0.012162162,0,0.001351351,0.013513514,0.024934346,0.208890684,0.709436226
0504 CIN 5-D,1306,631,506,110,616,0.821428571,0.178571429,0.016042781,0.945632799,0.004456328,0.003565062,0.023172906,0,0.000891266,0.006238859,0.013737464,0.003248262,0.935224045
0505 CIN 5-E,1082,466,340,111,451,0.753880266,0.246119734,0.02165725,0.919020716,0.013182674,0,0.032956685,0,0,0.013182674,0.006647035,0.021822437,0.950632639
0506 CIN 5-F,898,347,258,79,337,0.765578635,0.234421365,0.03003337,0.926585095,0.013348165,0.001112347,0.012235818,0,0.001112347,0.015572859,0.023991249,0.007992253,0.925886564
0507 CIN 5-G,1405,573,429,120,549,0.781420765,0.218579235,0.014245014,0.818376068,0.074786325,0.000712251,0.074786325,0,0.001424501,0.015669516,0.010295833,0.116686113,0.821778833
0508 CIN 5-H,947,320,123,190,313,0.392971246,0.607028754,0.015662651,0.420481928,0.524096386,0.002409639,0.020481928,0,0,0.01686747,0.025665366,0.208833435,0.708335292
0509 CIN 5-I,1504,674,539,125,664,0.811746988,0.188253012,0.026333558,0.921674544,0.016205267,0.000675219,0.0243079,0,0,0.010803511,0.010145242,0.019476747,0.948944615
0601 CIN 6-A,1782,459,215,232,447,0.48098434,0.51901566,0.035261708,0.682644628,0.212672176,0.000550964,0.050688705,0.000550964,0.001652893,0.015977961,0.031526796,0.124987316,0.787164674
0602 CIN 6-B,1472,387,228,152,380,0.6,0.4,0.032967033,0.70989011,0.175824176,0.001098901,0.058241758,0,0.003296703,0.018681319,0.014662757,0.073313783,0.832844575
0603 CIN 6-C,1699,340,109,227,336,0.324404762,0.675595238,0.040114613,0.448901624,0.467048711,0.00191022,0.020057307,0,0,0.021967526,0.045710263,0.16864304,0.728955325
0604 CIN 6-D,1448,342,104,232,336,0.30952381,0.69047619,0.034541578,0.365458422,0.565884861,0.007249467,0.005970149,0,0.002132196,0.018763326,0.035106119,0.253509842,0.655529624
0701 CIN 7-A,1356,471,138,319,457,0.301969365,0.698030635,0.013402829,0.120625465,0.843633656,0.002978407,0.001489203,0,0.002233805,0.015636634,0,0.803355574,0.163017502
0702 CIN 7-B,637,157,53,99,152,0.348684211,0.651315789,0.011029412,0.110294118,0.861519608,0.003676471,0,0,0.003676471,0.009803922,0,0.62962963,0.314814815
0703 CIN 7-C,1109,425,108,308,416,0.259615385,0.740384615,0.009551098,0.067812798,0.895893028,0.00286533,0.005730659,0,0.00095511,0.017191977,0.028524879,0.869504032,0.07320912
0704 CIN 7-D,1234,364,89,267,356,0.25,0.75,0.005751849,0.087921118,0.882497946,0.005751849,0.000821693,0.002465078,0.001643385,0.013147083,0,0.913002415,0.069012337
0705 CIN 7-E,662,239,78,153,231,0.337662338,0.662337662,0.005042017,0.040336134,0.941176471,0.003361345,0,0,0,0.010084034,0.015625,0.9296875,0.03125
0706 CIN 7-F,946,294,73,218,291,0.250859107,0.749140893,0.003468208,0.027745665,0.943352601,0.001156069,0.004624277,0,0.001156069,0.01849711,0,0.870533877,0.119365021
0707 CIN 7-G,1362,455,123,324,447,0.275167785,0.724832215,0.008701057,0.12927284,0.849596022,0.001243008,0.001864512,0,0.00310752,0.00621504,0.001728298,0.841615345,0.119274752
0708 CIN 7-H,1132,343,93,244,337,0.275964392,0.724035608,0.007428041,0.074280409,0.898792943,0.000928505,0.007428041,0,0.00371402,0.007428041,0,0.821075439,0.176456968
0709 CIN 7-I,1161,437,153,272,425,0.36,0.64,0.000924214,0.163585952,0.821626617,0.000924214,0.007393715,0,0,0.005545287,0,0.907155181,0.088464078
0710 CIN 7-J,581,140,45,93,138,0.326086957,0.673913043,0,0.081932773,0.867647059,0.00210084,0.031512605,0,0.006302521,0.010504202,0.002871041,0.734646861,0.228334162
0711 CIN 7-K,957,356,118,232,350,0.337142857,0.662857143,0.01183432,0.141025641,0.831360947,0,0.001972387,0.001972387,0.001972387,0.009861933,0,0.824976209,0.164958916
0801 CIN 8-A,1711,345,89,251,340,0.261764706,0.738235294,0.018272425,0.224806202,0.718161683,0.00166113,0.012735327,0,0.004429679,0.019933555,0.035449529,0.676272226,0.253910038
0802 CIN 8-B,1134,396,226,156,382,0.591623037,0.408376963,0.022312373,0.791075051,0.149087221,0,0.029411765,0,0,0.00811359,0.024826007,0.221953548,0.698473534
0803 CIN 8-C,1476,591,441,132,573,0.769633508,0.230366492,0.027115859,0.907148726,0.026294166,0,0.031224322,0,0.000821693,0.007395234,0.015067091,0.012346104,0.938187259
0804 CIN 8-D,1391,294,88,202,290,0.303448276,0.696551724,0.013100437,0.297816594,0.662882096,0.000873362,0.009606987,0.001746725,0,0.013973799,0.02192426,0.488152166,0.421493222
0901 CIN 9-A,1054,222,67,151,218,0.30733945,0.69266055,0.004912281,0.077192982,0.89122807,0.001403509,0.009824561,0,0.000701754,0.014736842,0.016694233,0.836165082,0.12415885
0902 CIN 9-B,1476,553,272,260,532,0.511278195,0.488721805,0.032076985,0.666399358,0.250200481,0.000801925,0.033680834,0,0.000801925,0.016038492,0.020260045,0.237519629,0.7051099
0903 CIN 9-C,1350,288,75,208,283,0.265017668,0.734982332,0.017818959,0.1489665,0.799002138,0.003563792,0.014967926,0,0,0.015680684,0.021066823,0.779825837,0.133929036
0904 CIN 9-D,1197,246,63,173,236,0.266949153,0.733050847,0.006566604,0.053470919,0.926829268,0.000938086,0.001876173,0,0,0.010318949,0.019425251,0.858007494,0.104841824
1001 CIN 10-A,1281,420,149,262,411,0.362530414,0.637469586,0.012552301,0.425941423,0.528870293,0.005020921,0.014225941,0,0.0041841,0.009205021,0.009812641,0.246437709,0.715183269
1002 CIN 10-B,1098,140,43,93,136,0.316176471,0.683823529,0.01228978,0.159767141,0.811772316,0.002587322,0.004527814,0,0,0.009055627,0.012952086,0.646875952,0.301556594
1003 CIN 10-C,1189,268,76,184,260,0.292307692,0.707692308,0.016949153,0.291703836,0.667261374,0.001784121,0.008028546,0,0.000892061,0.01338091,0.012519791,0.469118199,0.475936197
1101 CIN 11-A,1571,428,158,258,416,0.379807692,0.620192308,0.01706109,0.689598239,0.252063841,0.002751789,0.018712163,0.001651073,0.001100715,0.01706109,0.032345744,0.152621206,0.780323003
1102 CIN 11-B,1826,240,71,158,229,0.310043668,0.689956332,0.018937834,0.667764512,0.232606011,0.001235076,0.061342116,0,0.00205846,0.01605599,0.022262736,0.112961118,0.841532366
1103 CIN 11-C,1820,195,67,120,187,0.35828877,0.64171123,0.020954223,0.843326886,0.084139265,0.001611863,0.036105738,0,0.001289491,0.012572534,0.047583209,0.093644908,0.820522991
1201 CIN 12-A,1038,116,52,61,113,0.460176991,0.539823009,0.021992238,0.792043984,0.076649418,0.000970246,0.079560155,0.000646831,0.000646831,0.027490298,0.045363592,0.084235023,0.821644305
1202 CIN 12-B,1643,25,6,18,24,0.25,0.75,0.017720499,0.844140153,0.08175594,0.000402739,0.037857431,0.001208216,0.001208216,0.015706806,0.039241601,0.11440419,0.761940163
1203 CIN 12-C,1489,209,65,137,202,0.321782178,0.678217822,0.015407555,0.566600398,0.225149105,0,0.172962227,0.001988072,0.000497018,0.017395626,0.013534613,0.197612884,0.666610631
1204 CIN 12-D,1592,300,140,144,284,0.492957746,0.507042254,0.021685034,0.494845361,0.236046925,0.000355492,0.221827231,0.000710985,0.005332385,0.019196587,0.063380003,0.202821576,0.704455701
1205 CIN 12-E,1791,211,78,124,202,0.386138614,0.613861386,0.022118743,0.537834692,0.3556461,0.001746217,0.049476135,0.000582072,0.003492433,0.029103609,0.002683888,0.237782857,0.681737899
1301 CIN 13-A,1297,218,53,160,213,0.248826291,0.751173709,0.010989011,0.027106227,0.944322344,0.002930403,0.002930403,0.000732601,0,0.010989011,0.008684782,0.891279932,0.100035285
1302 CIN 13-B,832,344,156,181,337,0.462908012,0.537091988,0.015523933,0.433376455,0.534282018,0.001293661,0.010349288,0,0.003880983,0.001293661,0.001569078,0.532058534,0.448689653
1303 CIN 13-C,1300,221,47,170,217,0.216589862,0.783410138,0.010853835,0.103473227,0.866859624,0.005065123,0.002170767,0.000723589,0,0.010853835,0.009093489,0.779941969,0.169535191
1304 CIN 13-D,1210,300,71,220,291,0.243986254,0.756013746,0.004177109,0.073517126,0.895572264,0.001670844,0.007518797,0,0.004177109,0.01336675,0.000173826,0.894855178,0.059680518
1305 CIN 13-E,1304,608,278,315,593,0.468802698,0.531197302,0.017213115,0.401639344,0.546721311,0.002459016,0.017213115,0,0.000819672,0.013934426,0,0.677160765,0.307585112
1306 CIN 13-F,960,418,120,287,407,0.294840295,0.705159705,0.007954545,0.211363636,0.757954545,0.002272727,0.009090909,0,0.001136364,0.010227273,0,0.801659097,0.182782178
1307 CIN 13-G,1550,278,93,178,271,0.343173432,0.656826568,0.005098325,0.050254916,0.92789512,0.000728332,0.001456664,0,0,0.014566642,0.000116526,0.795841656,0.144973306
1308 CIN 13-H,1244,81,39,41,80,0.4875,0.5125,0.039453718,0.833586242,0.089023773,0.001517451,0.020232676,0,0.003034901,0.013151239,0.031898292,0.202962666,0.698708129
1401 CIN 14-A,1220,522,275,226,501,0.548902196,0.451097804,0.03205699,0.583259127,0.36064114,0.002671416,0.010685663,0,0.000890472,0.009795191,0.010581148,0.386555966,0.584244772
1402 CIN 14-B,1278,454,106,343,449,0.236080178,0.763919822,0.020881671,0.089713844,0.86620263,0.002320186,0.002320186,0.000773395,0.005413766,0.012374323,0,0.87175144,0.099948905
1403 CIN 14-C,512,260,179,74,253,0.707509881,0.292490119,0.011792453,0.879716981,0.080188679,0,0.016509434,0,0.004716981,0.007075472,0.004789421,0.174190652,0.798237997
1404 CIN 14-D,1480,646,286,355,641,0.446177847,0.553822153,0.025399129,0.421625544,0.517416546,0.002177068,0.008708273,0,0.003628447,0.021044993,0,0.485376375,0.51038704
